이름,전화번호 
노원자동차검사소(한국교통안전공단:튜닝),02-972-4121
양천구청 당직실,02-2620-3000
목동역(지하철 5호선),02-6311-5201/02-6311-5200
신정역(지하철 5호선),02-6311-5191
사령실(지하철 5호선),02-6311-5005
오목교역(지하철 5호선),02-6311-5211
서울출입국 보호실,02-2650-6246/02-2650-6247
서울출입국 사법과,02-2650-6241
양천구청 주차관리과(불법주정차),02-2620-3745
이대목동병원 응급실,02-2650-5911
양천구청 유기견관리팀,02-2620-4820
양천구청 아동보호팀,02-2060-4619
특허청 상표법위반수사,02-568-9033
서울 게임물단속(성인오락실/환전/게임물온라인관리위원회/조사관리팀),02-2012-7880/game2@grac.co.kr/
과학수사반(감식반),010-7489-0613
여의도경찰센터(지하철경찰대),02-2281-0898
현림동물병원(유기견),02-2642-8886
남부지방검찰청(수배 주간),02-3219-4649
보라매병원(주취자/정신질환자),경비 7-2959/02-700-2959/010-6572-8997
국립정신건강센터,02-2204-0119/02-2204-0231
은평시립병원,02-300-8117/02-300-8118/02-300-8119
화정병원(정신질환자 협업),031-979-7572
건국대병원,02-1588-1533
지혜병원(정신질환자 협업),02-6279-0129
명병원(정신질환자 협업),02-965-2800
마인드웰병원(정신질환자 협업),02-433-1195
베이직병원(정신질환자 협업),02-990-2999
힐링스병원(정신질환자 협업),031-853-9222
상계 백병원(노원구 동일로),02-950-1114
김포 다은병원(김포시 북변중로),031-996-1338
성지병원(정신질환자 협업),02-867-7056
혜성병원(영등포구 신길로),02-844-6119
강서필병원(정신질환자 협업),02-2608-8855
송파미소병원(정신질환자 협업),02-1661-9299
구로다나병원(정신질환자 협업),02-2613-8001
휴엔병원(정신질환자 협업),031-753-1000
루카스병원(정신질환자/아동 청소년 입원 가능 정신병원),032-310-0100
멘토스병원(정신질환자 협업),02-2214-5100
나눔정신의원(서초구 방배로),02-588-2555
고려대안암병원,02-1577-0083
신정2 상황(소내)폰,010-7489-3433
홍익병원 응급실,02-2600-0618
홍익병원 원무과,02-2600-0671
보라매병원(남부해바라기센터),02-870-1700
신정2 41호 공용폰,010-7489-3430/010-8551-4396
신정2 42호 공용폰,010-7489-3431/010-8551-4364
신정2 43호 공용폰,010-7489-3432/010-8551-5396
신정2 44호 공용폰,010-6223-3423/010-6237-4324
양천구청 보건위생과 동물보호팀,02-2620-4919
서울청 청문 재산등록,02-700-2382/02-700-2377
서울남부보호관찰소,02-2650-2100
게임물관리위원회 서울사무실,02-2012-7874
양천구청 공원녹지과,02-2620-3576/02-2620-3581
양천서 경찰서장,02-2649-0001/경비 210
양천서 부속실,02-2093-8211/경비 211
양천서 청문감사인권관,02-2093-8216/경비 216
양천서 청문민원팀장,02-2093-8224/경비 224
양천서 청문민원관리팀,02-2093-8324/경비 324
양천서 청문민원관리팀 서무,경비 125
양천서 감사실장,02-2093-8218/경비 218
양천서 감사실,02-2093-8217/경비 217
양천서 경무과장,02-2093-8220/경비 220
양천서 경무계장,02-2093-8221/경비 221
양천서 경무계,02-2093-8321/경비 321
양천서 경무계 서무,경비 101
양천서 경무계 교육,경비 102
양천서 경무계 인사,경비 103
양천서 경무계 상훈,경비 104
양천서 경무계 홍보,경비 105
양천서 경무계 기획,경비 106
